county,TAZ,tm15,link21,jobs
6001,1543,RETEMP,RETR,4
6001,1544,AGREMPN,FFRE,2
6001,1544,FPSEMPN,FIRE,156
6001,1544,FPSEMPN,UTIL,5
6001,1544,HEREMPN,HIED,4
6001,1544,HEREMPN,HMED,27
6001,1544,HEREMPN,PERS,27
6001,1544,HEREMPN,RECS,160
6001,1544,HEREMPN,SOCS,10
6001,1544,MWTEMPN,MFRG,57
6001,1544,MWTEMPN,WTWT,4
6001,1544,OTHEMPN,CONS,37
6001,1544,OTHEMPN,FIRE,10
6001,1544,RETEMP,RETL,96
6001,1544,RETEMP,RETR,1
6001,1545,FPSEMPN,FIRE,50
6001,1545,FPSEMPN,UTIL,10
6001,1545,HEREMPN,HIED,5
6001,1545,HEREMPN,HMED,15
6001,1545,HEREMPN,K12E,110
6001,1545,HEREMPN,PERS,23
6001,1545,HEREMPN,RECS,105
6001,1545,HEREMPN,SOCS,21
6001,1545,MWTEMPN,MFRG,20
6001,1545,MWTEMPN,WTWT,14
6001,1545,OTHEMPN,CONS,34
6001,1545,OTHEMPN,GOVT,7
6001,1545,RETEMP,RETL,29
6001,1545,RETEMP,RETR,3
6001,1546,FPSEMPN,FIRE,20
6001,1546,HEREMPN,HIED,6
6001,1546,HEREMPN,HMED,5
6001,1546,HEREMPN,K12E,50
6001,1546,HEREMPN,PERS,27
6001,1546,HEREMPN,RECS,29
6001,1546,HEREMPN,SOCS,17
6001,1546,OTHEMPN,CONS,14
6001,1546,OTHEMPN,FIRE,5
6001,1546,RETEMP,RETL,14
6001,1546,RETEMP,RETR,5
6001,1547,AGREMPN,FFRE,9
6001,1547,FPSEMPN,FIRE,402
6001,1547,HEREMPN,HIED,36
6001,1547,HEREMPN,HMED,17
6001,1547,HEREMPN,PERS,70
6001,1547,HEREMPN,RECS,129
6001,1547,HEREMPN,SOCS,59
6001,1547,MWTEMPN,MFRG,319
6001,1547,MWTEMPN,UTIL,3
6001,1547,MWTEMPN,WTWT,192
6001,1547,OTHEMPN,CONS,351
6001,1547,OTHEMPN,FIRE,46
6001,1547,OTHEMPN,GOVT,50
6001,1547,RETEMP,RETL,97
6001,1547,RETEMP,RETR,32
6001,1548,FPSEMPN,FIRE,11
6001,1548,HEREMPN,HMED,5
6001,1548,OTHEMPN,CONS,13
6001,1549,FPSEMPN,FIRE,52
6001,1549,HEREMPN,HIED,6
6001,1549,HEREMPN,HMED,147
6001,1549,HEREMPN,K12E,80
6001,1549,HEREMPN,RECS,8
6001,1549,HEREMPN,SOCS,15
6001,1549,MWTEMPN,MFRG,29
6001,1549,MWTEMPN,WTWT,14
6001,1549,OTHEMPN,CONS,36
6001,1549,OTHEMPN,GOVT,2
6001,1549,RETEMP,RETL,2
6001,1549,RETEMP,RETR,19
6001,1550,FPSEMPN,FIRE,113
6001,1550,FPSEMPN,UTIL,14
6001,1550,HEREMPN,HIED,2
6001,1550,HEREMPN,HMED,16
6001,1550,HEREMPN,K12E,95
6001,1550,HEREMPN,PERS,47
6001,1550,HEREMPN,RECS,62
6001,1550,HEREMPN,SOCS,16
6001,1550,MWTEMPN,MFRG,30
6001,1550,MWTEMPN,WTWT,21
6001,1550,OTHEMPN,CONS,82
6001,1550,OTHEMPN,FIRE,7
6001,1550,OTHEMPN,GOVT,7
6001,1550,RETEMP,RETL,112
6001,1550,RETEMP,RETR,13
6001,1551,FPSEMPN,FIRE,2
6001,1551,HEREMPN,HMED,27
6001,1551,HEREMPN,PERS,7
6001,1551,HEREMPN,SOCS,39
6001,1551,OTHEMPN,FIRE,8
6001,1551,OTHEMPN,GOVT,246
6001,1551,RETEMP,RETL,9
6001,1552,HEREMPN,HMED,54
6001,1552,HEREMPN,K12E,175
6001,1552,HEREMPN,PERS,9
6001,1552,HEREMPN,RECS,3
6001,1552,OTHEMPN,CONS,4
6001,1552,RETEMP,RETL,1
6001,1553,FPSEMPN,FIRE,50
6001,1553,HEREMPN,K12E,79
6001,1553,HEREMPN,PERS,9
6001,1553,HEREMPN,RECS,3
6001,1553,HEREMPN,SOCS,7
6001,1553,MWTEMPN,MFRG,2
6001,1553,MWTEMPN,WTWT,4
6001,1553,OTHEMPN,FIRE,23
6001,1553,OTHEMPN,GOVT,7
6001,1553,RETEMP,RETL,9
6001,1553,RETEMP,RETR,1
6001,1554,AGREMPN,FFRE,3
6001,1554,FPSEMPN,FIRE,34
6001,1554,FPSEMPN,UTIL,1
6001,1554,HEREMPN,K12E,51
6001,1554,HEREMPN,PERS,22
6001,1554,HEREMPN,RECS,56
6001,1554,MWTEMPN,MFRG,3
6001,1554,MWTEMPN,WTWT,41
6001,1554,OTHEMPN,CONS,55
6001,1554,OTHEMPN,FIRE,13
6001,1554,OTHEMPN,GOVT,61
6001,1554,RETEMP,RETL,41
6001,1555,FPSEMPN,FIRE,91
6001,1555,HEREMPN,HIED,6
6001,1555,HEREMPN,HMED,15
6001,1555,HEREMPN,K12E,240
6001,1555,HEREMPN,PERS,32
6001,1555,HEREMPN,RECS,3
6001,1555,HEREMPN,SOCS,14
6001,1555,MWTEMPN,MFRG,9
6001,1555,MWTEMPN,WTWT,19
6001,1555,OTHEMPN,CONS,30
6001,1555,OTHEMPN,FIRE,17
6001,1555,RETEMP,RETL,3
6001,1555,RETEMP,RETR,26
6001,1556,FPSEMPN,FIRE,33
6001,1556,FPSEMPN,UTIL,2
6001,1556,HEREMPN,HIED,3
6001,1556,HEREMPN,HMED,1
6001,1556,HEREMPN,PERS,40
6001,1556,HEREMPN,RECS,26
6001,1556,OTHEMPN,CONS,8
6001,1556,OTHEMPN,FIRE,10
6001,1556,RETEMP,RETL,75
6001,1557,AGREMPN,FFRE,9
6001,1557,FPSEMPN,FIRE,1030
6001,1557,HEREMPN,HMED,91
6001,1557,HEREMPN,PERS,11
6001,1557,HEREMPN,RECS,5
6001,1557,HEREMPN,SOCS,36
6001,1557,MWTEMPN,MFRG,149
6001,1557,MWTEMPN,WTWT,128
6001,1557,OTHEMPN,CONS,12
6001,1557,OTHEMPN,FIRE,1
6001,1557,OTHEMPN,GOVT,49
6001,1557,RETEMP,RETL,33
6001,1557,RETEMP,RETR,3
6001,1558,AGREMPN,FFRE,2
6001,1558,FPSEMPN,FIRE,18
6001,1558,HEREMPN,HIED,4
6001,1558,HEREMPN,HMED,14
6001,1558,HEREMPN,PERS,28
6001,1558,HEREMPN,RECS,126
6001,1558,HEREMPN,SOCS,15
6001,1558,MWTEMPN,WTWT,2
6001,1558,OTHEMPN,CONS,2
6001,1558,RETEMP,RETL,38
6001,1558,RETEMP,RETR,64
6001,1559,FPSEMPN,FIRE,105
6001,1559,HEREMPN,HMED,14
6001,1559,HEREMPN,PERS,51
6001,1559,HEREMPN,RECS,91
6001,1559,HEREMPN,SOCS,45
6001,1559,MWTEMPN,WTWT,9
6001,1559,OTHEMPN,CONS,38
6001,1559,OTHEMPN,FIRE,13
6001,1559,RETEMP,RETL,44
6001,1559,RETEMP,RETR,24
6001,1560,FPSEMPN,FIRE,31
6001,1560,HEREMPN,HMED,8
6001,1560,HEREMPN,K12E,63
6001,1560,HEREMPN,RECS,2
6001,1560,HEREMPN,SOCS,10
6001,1560,MWTEMPN,WTWT,5
