county,TAZ,tm15,link21,jobs
6075,13,HEREMPN,PERS,3
6075,13,HEREMPN,RECS,757
6075,13,MWTEMPN,MFRG,1
6075,13,MWTEMPN,WTWT,1
6075,13,OTHEMPN,FIRE,38
6075,13,OTHEMPN,CONS,25
6075,13,OTHEMPN,GOVT,28
6075,13,RETEMPN,RETL,70
6075,13,AGREMPN,FFRE,1
6075,14,FPSEMPN,FIRE,2633
6075,14,HEREMPN,HIED,2
6075,14,HEREMPN,HMED,39
6075,14,HEREMPN,PERS,205
6075,14,HEREMPN,RECS,2132
6075,14,MWTEMPN,WTWT,74
6075,14,OTHEMPN,FIRE,543
6075,14,OTHEMPN,CONS,128
6075,14,OTHEMPN,GOVT,319
6075,14,RETEMPN,RETL,578
6075,14,RETEMPN,RETR,24
6075,14,AGREMPN,FFRE,1
6075,15,FPSEMPN,FIRE,72
6075,15,HEREMPN,HMED,15
6075,15,HEREMPN,PERS,1
6075,15,HEREMPN,RECS,44
6075,15,HEREMPN,SOCS,22
6075,15,MWTEMPN,MFRG,3
6075,15,MWTEMPN,WTWT,2
6075,15,OTHEMPN,FIRE,24
6075,15,OTHEMPN,CONS,71
6075,15,RETEMPN,RETL,1
6075,15,AGREMPN,FFRE,1
6075,16,FPSEMPN,FIRE,350
6075,16,HEREMPN,HIED,6
6075,16,HEREMPN,PERS,39
6075,16,HEREMPN,RECS,316
6075,16,MWTEMPN,MFRG,16
6075,16,OTHEMPN,FIRE,124
6075,16,OTHEMPN,CONS,213
6075,16,RETEMPN,RETL,23
6075,17,FPSEMPN,FIRE,1057
6075,17,HEREMPN,HIED,3
6075,17,HEREMPN,HMED,11
6075,17,HEREMPN,K12E,6
6075,17,HEREMPN,PERS,45
6075,17,HEREMPN,RECS,1037
6075,17,HEREMPN,SOCS,4
6075,17,MWTEMPN,MFRG,4
6075,17,MWTEMPN,WTWT,25
6075,17,OTHEMPN,FIRE,537
6075,17,OTHEMPN,CONS,48
6075,17,OTHEMPN,GOVT,134
6075,17,RETEMPN,RETL,92
6075,17,RETEMPN,RETR,4
6075,18,FPSEMPN,FIRE,214
6075,18,HEREMPN,HIED,1
6075,18,HEREMPN,HMED,38
6075,18,HEREMPN,PERS,87
6075,18,HEREMPN,RECS,84
6075,18,HEREMPN,SOCS,75
6075,18,MWTEMPN,MFRG,16
6075,18,OTHEMPN,FIRE,296
6075,18,OTHEMPN,GOVT,85
6075,18,RETEMPN,RETL,31
6075,19,FPSEMPN,FIRE,197
6075,19,HEREMPN,K12E,15
6075,19,HEREMPN,PERS,81
6075,19,HEREMPN,RECS,95
6075,19,HEREMPN,SOCS,49
6075,19,MWTEMPN,MFRG,12
6075,19,OTHEMPN,FIRE,14
6075,19,OTHEMPN,CONS,7
6075,19,OTHEMPN,GOVT,277
6075,19,RETEMPN,RETL,87
6075,19,RETEMPN,RETR,6
6075,20,FPSEMPN,FIRE,750
6075,20,FPSEMPN,UTIL,9
6075,20,HEREMPN,HIED,17
6075,20,HEREMPN,HMED,277
6075,20,HEREMPN,PERS,114
6075,20,HEREMPN,RECS,272
6075,20,HEREMPN,SOCS,252
6075,20,MWTEMPN,MFRG,58
6075,20,MWTEMPN,WTWT,7
6075,20,OTHEMPN,FIRE,474
6075,20,OTHEMPN,CONS,223
6075,20,OTHEMPN,GOVT,261
6075,20,RETEMPN,RETL,1354
6075,20,RETEMPN,RETR,63
6075,20,AGREMPN,FFRE,1
6075,21,FPSEMPN,FIRE,352
6075,21,HEREMPN,HIED,13
6075,21,HEREMPN,HMED,24
6075,21,HEREMPN,PERS,127
6075,21,HEREMPN,RECS,71
6075,21,MWTEMPN,MFRG,4
6075,21,MWTEMPN,WTWT,26
6075,21,OTHEMPN,FIRE,241
6075,21,OTHEMPN,CONS,536
6075,21,RETEMPN,RETL,8
6075,21,RETEMPN,RETR,12
6075,21,AGREMPN,FFRE,2
6075,22,FPSEMPN,FIRE,2396
6075,22,HEREMPN,HIED,61
6075,22,HEREMPN,HMED,288
6075,22,HEREMPN,PERS,293
6075,22,HEREMPN,RECS,1215
6075,22,MWTEMPN,MFRG,68
6075,22,MWTEMPN,WTWT,117
6075,22,OTHEMPN,FIRE,1291
6075,22,OTHEMPN,CONS,326
6075,22,OTHEMPN,GOVT,272
6075,22,RETEMPN,RETL,87
6075,22,RETEMPN,RETR,37
6075,22,AGREMPN,FFRE,6
6075,23,FPSEMPN,FIRE,5050
6075,23,FPSEMPN,UTIL,5
6075,23,HEREMPN,HIED,35
6075,23,HEREMPN,HMED,335
6075,23,HEREMPN,K12E,47
6075,23,HEREMPN,PERS,666
6075,23,HEREMPN,RECS,1573
6075,23,HEREMPN,SOCS,296
6075,23,MWTEMPN,MFRG,5
6075,23,MWTEMPN,WTWT,174
6075,23,MWTEMPN,UTIL,3
6075,23,OTHEMPN,FIRE,447
6075,23,OTHEMPN,CONS,1101
6075,23,OTHEMPN,GOVT,1156
6075,23,RETEMPN,RETL,689
6075,23,RETEMPN,RETR,8
6075,23,AGREMPN,FFRE,22
6075,24,FPSEMPN,FIRE,22
6075,24,HEREMPN,HMED,5
6075,24,HEREMPN,PERS,95
6075,24,HEREMPN,RECS,57
6075,24,MWTEMPN,MFRG,2
6075,24,OTHEMPN,FIRE,28
6075,24,OTHEMPN,CONS,18
6075,24,OTHEMPN,GOVT,21
6075,24,RETEMPN,RETL,1
6075,25,FPSEMPN,FIRE,44
6075,25,HEREMPN,HIED,2
6075,25,HEREMPN,HMED,15
6075,25,HEREMPN,PERS,14
6075,25,HEREMPN,RECS,125
6075,25,HEREMPN,SOCS,19
6075,25,MWTEMPN,MFRG,1
6075,25,MWTEMPN,WTWT,2
6075,25,OTHEMPN,FIRE,17
6075,25,OTHEMPN,CONS,34
6075,25,OTHEMPN,GOVT,7
6075,25,RETEMPN,RETL,4
6075,26,FPSEMPN,FIRE,68
